"mes","dia","dolar_compra","dolar_venta","real_compra","real_venta","peso_compra","peso_venta","yen_compra","yen_venta","euro_compra","euro_venta","libra_compra","libra_venta"
"enero","01","4.478,04","4.505,95","2.321,95","2.407,80","1.009,43","1.047,77","55,88","57,95","5.608,58","5.818,53","6.697,98","6.948,63"
"enero","02","4.478,04","4.505,95","2.321,95","2.407,80","1.009,43","1.047,77","55,88","57,95","5.608,58","5.818,53","6.697,98","6.948,63"
"enero","03","4.475,27","4.494,34","2.322,49","2.404,42","1.009,27","1.044,47","56,46","58,44","5.612,49","5.812,53","6.720,32","6.959,49"
"enero","04","4.482,98","4.489,40","2.364,80","2.440,16","1.010,54","1.043,56","56,69","58,50","5.672,61","5.857,77","6.777,12","6.998,08"
"enero","05","4.488,62","4.498,41","2.387,36","2.466,23","1.011,81","1.046,02","56,75","58,60","5.632,28","5.820,94","6.792,18","7.019,32"
"enero","06","4.510,63","4.530,16","2.381,45","2.464,86","1.016,19","1.052,79","56,78","58,75","5.599,96","5.799,06","6.778,67","7.019,48"
"enero","07","4.510,63","4.530,16","2.381,45","2.464,86","1.016,19","1.052,79","56,78","58,75","5.599,96","5.799,06","6.778,67","7.019,48"
"enero","08","4.510,63","4.530,16","2.381,45","2.464,86","1.016,19","1.052,79","56,78","58,75","5.599,96","5.799,06","6.778,67","7.019,48"
"enero","09","4.531,60","4.548,96","2.375,09","2.456,64","1.018,90","1.054,71","57,00","58,99","5.589,51","5.785,82","6.768,42","7.005,85"
"enero","10","4.541,37","4.552,88","2.393,78","2.472,78","1.020,36","1.054,18","57,39","59,27","5.620,06","5.809,02","6.811,65","7.041,03"
"enero","11","4.556,84","4.567,30","2.452,12","2.533,59","1.025,05","1.059,94","57,55","59,44","5.648,05","5.836,55","6.839,27","7.067,90"
"enero","12","4.579,83","4.610,07","2.463,40","2.555,47","1.029,98","1.069,50","57,72","59,87","5.640,12","5.853,87","6.824,02","7.083,37"
"enero","13","4.605,51","4.619,37","2.501,61","2.585,85","1.036,96","1.072,78","58,17","60,13","5.707,03","5.902,17","6.855,14","7.090,27"
"enero","14","4.605,51","4.619,37","2.501,61","2.585,85","1.036,96","1.072,78","58,17","60,13","5.707,03","5.902,17","6.855,14","7.090,27"
