fecha,dolar_compra,dolar_venta,real_compra,real_venta,peso_compra,peso_venta,yen_compra,yen_venta,euro_compra,euro_venta,libra_compra,libra_venta
01/01/23,7322.90,7339.62,1400.84,1404.50,41.43,41.53,55.01,55.14,7798.16,7816.69,8812.38,8833.23
02/01/23,7269.13,7323.89,1359.22,1369.82,40.80,41.13,55.58,56.03,7756.89,7816.06,8759.30,8827.49
03/01/23,7310.52,7325.33,1357.65,1360.65,40.96,41.05,55.98,56.09,7727.22,7743.60,8790.90,8810.17
04/01/23,7321.95,7325.38,1339.45,1340.24,40.98,41.01,55.72,55.75,7756.87,7761.97,8809.77,8816.09
05/01/23,7321.20,7335.36,1353.40,1356.19,40.91,40.99,54.71,54.82,7713.61,7729.27,8716.62,8734.94
06/01/23,7323.73,7334.80,1387.36,1389.64,40.86,40.92,54.93,55.02,7717.74,7730.15,8748.19,8762.89
07/01/23,7323.73,7334.80,1387.36,1389.64,40.86,40.92,54.93,55.02,7717.74,7730.15,8748.19,8762.89
08/01/23,7323.73,7334.80,1387.36,1389.64,40.86,40.92,54.93,55.02,7717.74,7730.15,8748.19,8762.89
09/01/23,7344.57,7375.94,1386.03,1392.13,40.76,40.97,55.67,55.91,7885.13,7919.55,8954.50,8993.49
10/01/23,7374.65,7384.88,1408.85,1411.05,40.87,40.94,55.80,55.88,7911.52,7923.23,8958.72,8972.62
11/01/23,7391.24,7398.71,1422.08,1423.73,40.90,40.95,55.75,55.81,7953.71,7962.49,8972.23,8982.03
12/01/23,7395.49,7410.73,1432.40,1435.63,40.86,40.95,56.74,56.87,7971.60,7988.76,8965.55,8985.51
13/01/23,7383.57,7397.72,1447.67,1450.99,40.72,40.81,57.74,57.86,7986.80,8002.85,9007.21,9025.96
14/01/23,7383.57,7397.72,1447.67,1450.99,40.72,40.81,57.74,57.86,7986.80,8002.85,9007.21,9025.96
15/01/23,7383.57,7397.72,1447.67,1450.99,40.72,40.81,57.74,57.86,7986.80,8002.85,9007.21,9025.96
16/01/23,7398.63,7416.04,1443.80,1447.37,40.61,40.71,57.61,57.75,8006.80,8025.64,9028.55,9050.54
17/01/23,7405.36,7419.52,1444.53,1447.48,40.58,40.66,57.63,57.75,8024.45,8041.27,9091.56,9110.43
18/01/23,7420.49,7429.27,1460.53,1462.51,40.59,40.64,57.92,58.00,8049.01,8059.28,9197.70,9210.07
19/01/23,7436.24,7440.45,1426.94,1428.05,40.60,40.63,57.88,57.92,8040.06,8045.36,9188.21,9194.16
20/01/23,7436.36,7438.61,1428.04,1428.94,40.54,40.56,57.15,57.17,8053.58,8056.76,9204.73,9209.00
21/01/23,7436.36,7438.61,1428.04,1428.94,40.54,40.56,57.15,57.17,8053.58,8056.76,9204.73,9209.00
22/01/23,7436.36,7438.61,1428.04,1428.94,40.54,40.56,57.15,57.17,8053.58,8056.76,9204.73,9209.00
23/01/23,7380.59,7395.26,1423.18,1426.28,40.03,40.11,56.57,56.69,8017.53,8034.21,9123.88,9142.76
24/01/23,7381.22,7388.47,1428.01,1429.63,39.96,40.00,56.35,56.40,8003.46,8012.06,9061.19,9071.57
25/01/23,7367.23,7381.22,1445.66,1448.63,39.82,39.90,56.89,57.01,8039.86,8055.86,9119.90,9138.69
26/01/23,7391.55,7394.25,1451.74,1452.53,39.88,39.90,56.76,56.79,8047.18,8050.86,9145.56,9149.65
27/01/23,7382.34,7389.40,1452.64,1454.38,39.76,39.80,56.82,56.88,8020.91,8028.58,9138.59,9148.07
28/01/23,7382.34,7389.40,1452.64,1454.38,39.76,39.80,56.82,56.88,8020.91,8028.58,9138.59,9148.07
29/01/23,7382.34,7389.40,1452.64,1454.38,39.76,39.80,56.82,56.88,8020.91,8028.58,9138.59,9148.07
30/01/23,7341.70,7349.72,1442.18,1443.98,39.35,39.39,56.36,56.43,7992.18,8001.64,9083.89,9094.54
31/01/23,7285.36,7301.44,1431.03,1434.44,38.98,39.07,56.03,56.16,7901.70,7919.14,8958.81,8979.31
01/02/23,7302.52,7313.61,1436.43,1438.84,38.98,39.05,56.32,56.42,7956.09,7968.91,8998.16,9013.29
02/02/23,7309.98,7340.16,1465.10,1471.39,38.95,39.12,56.82,57.06,7975.92,8009.59,8974.46,9012.25
03/02/23,7294.27,7308.22,1423.08,1426.13,38.80,38.89,55.70,55.82,7917.93,7933.81,8840.65,8859.03
04/02/23,7294.27,7308.22,1423.08,1426.13,38.80,38.89,55.70,55.82,7917.93,7933.81,8840.65,8859.03
05/02/23,7294.27,7308.22,1423.08,1426.13,38.80,38.89,55.70,55.82,7917.93,7933.81,8840.65,8859.03
06/02/23,7287.89,7293.02,1402.95,1404.20,38.52,38.59,54.91,54.95,7827.19,7833.43,8778.26,8785.17
07/02/23,7265.48,7275.14,1401.20,1403.30,38.35,38.40,55.06,55.14,7759.53,7769.85,8704.05,8716.35
08/02/23,7271.18,7284.34,1395.91,1398.60,38.29,38.36,55.34,55.44,7795.43,7810.27,8767.59,8784.92
